"from","to","weight"
"Amygdala_L_t_1","Amygdala_L_t_0",100
"Amygdala_R_t_0","Amygdala_L_t_0",49
"Amygdala_R_t_1","Amygdala_L_t_0",4
"Angular_L_t_0","Amygdala_L_t_0",44
"Angular_R_t_0","Amygdala_L_t_0",33
"Calcarine_L_t_0","Amygdala_L_t_0",67
"Calcarine_R_t_0","Amygdala_L_t_0",62
"Caudate_L_t_0","Amygdala_L_t_0",51
"Caudate_R_t_0","Amygdala_L_t_0",36
"Cerebelum_10_L_t_0","Amygdala_L_t_0",32
"Cerebelum_10_R_t_0","Amygdala_L_t_0",36
"Cerebelum_3_L_t_0","Amygdala_L_t_0",45
"Cerebelum_3_R_t_0","Amygdala_L_t_0",28
"Cerebelum_4_5_L_t_0","Amygdala_L_t_0",44
"Cerebelum_4_5_R_t_0","Amygdala_L_t_0",56
"Cerebelum_6_L_t_0","Amygdala_L_t_0",47
"Cerebelum_6_R_t_0","Amygdala_L_t_0",49
"Cerebelum_7b_L_t_0","Amygdala_L_t_0",32
"Cerebelum_7b_R_t_0","Amygdala_L_t_0",32
"Cerebelum_8_L_t_0","Amygdala_L_t_0",23
"Cerebelum_8_R_t_0","Amygdala_L_t_0",43
"Cerebelum_9_L_t_0","Amygdala_L_t_0",30
"Cerebelum_9_R_t_0","Amygdala_L_t_0",32
"Cerebelum_Crus1_L_t_0","Amygdala_L_t_0",31
"Cerebelum_Crus1_R_t_0","Amygdala_L_t_0",34
"Cerebelum_Crus2_L_t_0","Amygdala_L_t_0",25
"Cerebelum_Crus2_R_t_0","Amygdala_L_t_0",29
"Cingulum_Ant_L_t_0","Amygdala_L_t_0",66
"Cingulum_Ant_R_t_0","Amygdala_L_t_0",55
"Cingulum_Mid_L_t_0","Amygdala_L_t_0",65
"Cingulum_Mid_R_t_0","Amygdala_L_t_0",45
"Cingulum_Post_L_t_0","Amygdala_L_t_0",41
"Cingulum_Post_R_t_0","Amygdala_L_t_0",33
"Cuneus_L_t_0","Amygdala_L_t_0",44
"Cuneus_R_t_0","Amygdala_L_t_0",41
"DVARS_t_0","Amygdala_L_t_0",39
"DVARS_t_1","Amygdala_L_t_0",23
"Frontal_Inf_Oper_L_t_0","Amygdala_L_t_0",57
"Frontal_Inf_Oper_R_t_0","Amygdala_L_t_0",33
"Frontal_Inf_Orb_L_t_0","Amygdala_L_t_0",57
"Frontal_Inf_Orb_R_t_0","Amygdala_L_t_0",27
"Frontal_Inf_Tri_L_t_0","Amygdala_L_t_0",39
"Frontal_Inf_Tri_R_t_0","Amygdala_L_t_0",47
"Frontal_Med_Orb_L_t_0","Amygdala_L_t_0",36
"Frontal_Med_Orb_R_t_0","Amygdala_L_t_0",25
"Frontal_Mid_L_t_0","Amygdala_L_t_0",27
"Frontal_Mid_Orb_L_t_0","Amygdala_L_t_0",48
"Frontal_Mid_Orb_R_t_0","Amygdala_L_t_0",45
"Frontal_Mid_R_t_0","Amygdala_L_t_0",36
"Frontal_Sup_L_t_0","Amygdala_L_t_0",33
"Frontal_Sup_Medial_L_t_0","Amygdala_L_t_0",46
"Frontal_Sup_Medial_R_t_0","Amygdala_L_t_0",61
"Frontal_Sup_Orb_L_t_0","Amygdala_L_t_0",38
"Frontal_Sup_Orb_R_t_0","Amygdala_L_t_0",37
"Frontal_Sup_R_t_0","Amygdala_L_t_0",26
"Fusiform_L_t_0","Amygdala_L_t_0",39
"Fusiform_R_t_0","Amygdala_L_t_0",36
"Heschl_L_t_0","Amygdala_L_t_0",35
"Heschl_R_t_0","Amygdala_L_t_0",30
"Hippocampus_L_t_0","Amygdala_L_t_0",76
"Hippocampus_R_t_0","Amygdala_L_t_0",55
"Insula_L_t_0","Amygdala_L_t_0",79
"Insula_R_t_0","Amygdala_L_t_0",49
"Lingual_L_t_0","Amygdala_L_t_0",55
"Lingual_R_t_0","Amygdala_L_t_0",60
"Lingual_R_t_1","Amygdala_L_t_0",1
"Occipital_Inf_L_t_0","Amygdala_L_t_0",39
"Occipital_Inf_R_t_0","Amygdala_L_t_0",43
"Occipital_Mid_L_t_0","Amygdala_L_t_0",40
"Occipital_Mid_R_t_0","Amygdala_L_t_0",38
"Occipital_Sup_L_t_0","Amygdala_L_t_0",45
"Occipital_Sup_R_t_0","Amygdala_L_t_0",54
