"from","to","weight"
"Amygdala_L_t_1","Amygdala_L_t_0",100
"Amygdala_R_t_0","Amygdala_L_t_0",35
"Angular_L_t_0","Amygdala_L_t_0",51
"Angular_R_t_0","Amygdala_L_t_0",41
"Calcarine_L_t_0","Amygdala_L_t_0",50
"Calcarine_L_t_1","Amygdala_L_t_0",1
"Calcarine_R_t_0","Amygdala_L_t_0",49
"Caudate_L_t_0","Amygdala_L_t_0",51
"Caudate_R_t_0","Amygdala_L_t_0",43
"Cerebelum_10_L_t_0","Amygdala_L_t_0",40
"Cerebelum_10_R_t_0","Amygdala_L_t_0",40
"Cerebelum_3_L_t_0","Amygdala_L_t_0",41
"Cerebelum_3_R_t_0","Amygdala_L_t_0",44
"Cerebelum_4_5_L_t_0","Amygdala_L_t_0",64
"Cerebelum_4_5_R_t_0","Amygdala_L_t_0",72
"Cerebelum_6_L_t_0","Amygdala_L_t_0",49
"Cerebelum_6_R_t_0","Amygdala_L_t_0",37
"Cerebelum_7b_L_t_0","Amygdala_L_t_0",39
"Cerebelum_7b_R_t_0","Amygdala_L_t_0",36
"Cerebelum_8_L_t_0","Amygdala_L_t_0",28
"Cerebelum_8_R_t_0","Amygdala_L_t_0",44
"Cerebelum_9_L_t_0","Amygdala_L_t_0",53
"Cerebelum_9_R_t_0","Amygdala_L_t_0",61
"Cerebelum_Crus1_L_t_0","Amygdala_L_t_0",40
"Cerebelum_Crus1_R_t_0","Amygdala_L_t_0",32
"Cerebelum_Crus2_L_t_0","Amygdala_L_t_0",26
"Cerebelum_Crus2_R_t_0","Amygdala_L_t_0",28
"Cerebelum_Crus2_R_t_1","Amygdala_L_t_0",1
"Cingulum_Ant_L_t_0","Amygdala_L_t_0",69
"Cingulum_Ant_R_t_0","Amygdala_L_t_0",44
"Cingulum_Mid_L_t_0","Amygdala_L_t_0",62
"Cingulum_Mid_R_t_0","Amygdala_L_t_0",67
"Cingulum_Post_L_t_0","Amygdala_L_t_0",35
"Cingulum_Post_R_t_0","Amygdala_L_t_0",34
"Cuneus_L_t_0","Amygdala_L_t_0",45
"Cuneus_R_t_0","Amygdala_L_t_0",44
"DVARS_t_0","Amygdala_L_t_0",22
"DVARS_t_1","Amygdala_L_t_0",64
"Frontal_Inf_Oper_L_t_0","Amygdala_L_t_0",64
"Frontal_Inf_Oper_R_t_0","Amygdala_L_t_0",38
"Frontal_Inf_Orb_L_t_0","Amygdala_L_t_0",61
"Frontal_Inf_Orb_R_t_0","Amygdala_L_t_0",51
"Frontal_Inf_Tri_L_t_0","Amygdala_L_t_0",50
"Frontal_Inf_Tri_R_t_0","Amygdala_L_t_0",38
"Frontal_Med_Orb_L_t_0","Amygdala_L_t_0",45
"Frontal_Med_Orb_R_t_0","Amygdala_L_t_0",29
"Frontal_Mid_L_t_0","Amygdala_L_t_0",51
"Frontal_Mid_Orb_L_t_0","Amygdala_L_t_0",56
"Frontal_Mid_Orb_L_t_1","Amygdala_L_t_0",3
"Frontal_Mid_Orb_R_t_0","Amygdala_L_t_0",49
"Frontal_Mid_Orb_R_t_1","Amygdala_L_t_0",1
"Frontal_Mid_R_t_0","Amygdala_L_t_0",40
"Frontal_Sup_L_t_0","Amygdala_L_t_0",45
"Frontal_Sup_Medial_L_t_0","Amygdala_L_t_0",43
"Frontal_Sup_Medial_R_t_0","Amygdala_L_t_0",33
"Frontal_Sup_Orb_L_t_0","Amygdala_L_t_0",29
"Frontal_Sup_Orb_R_t_0","Amygdala_L_t_0",31
"Frontal_Sup_R_t_0","Amygdala_L_t_0",27
"Fusiform_L_t_0","Amygdala_L_t_0",35
"Fusiform_R_t_0","Amygdala_L_t_0",59
"Heschl_L_t_0","Amygdala_L_t_0",47
"Heschl_R_t_0","Amygdala_L_t_0",29
"Hippocampus_L_t_0","Amygdala_L_t_0",78
"Hippocampus_R_t_0","Amygdala_L_t_0",41
"Insula_L_t_0","Amygdala_L_t_0",85
"Insula_R_t_0","Amygdala_L_t_0",40
"Lingual_L_t_0","Amygdala_L_t_0",45
"Lingual_R_t_0","Amygdala_L_t_0",47
"Occipital_Inf_L_t_0","Amygdala_L_t_0",39
"Occipital_Inf_R_t_0","Amygdala_L_t_0",51
"Occipital_Mid_L_t_0","Amygdala_L_t_0",34
"Occipital_Mid_R_t_0","Amygdala_L_t_0",40
"Occipital_Sup_L_t_0","Amygdala_L_t_0",35
"Occipital_Sup_R_t_0","Amygdala_L_t_0",36
"Olfactory_L_t_0","Amygdala_L_t_0",56
"Olfactory_R_t_0","Amygdala_L_t_0",33
"Pallidum_L_t_0","Amygdala_L_t_0",61
"Pallidum_R_t_0","Amygdala_L_t_0",34
"Paracentral_Lobule_L_t_0","Amygdala_L_t_0",29
"Paracentral_Lobule_R_t_0","Amygdala_L_t_0",27
"Paracentral_Lobule_R_t_1","Amygdala_L_t_0",1
"ParaHippocampal_L_t_0","Amygdala_L_t_0",59
"ParaHippocampal_L_t_1","Amygdala_L_t_0",1
"ParaHippocampal_R_t_0","Amygdala_L_t_0",56
"Parietal_Inf_L_t_0","Amygdala_L_t_0",46
"Parietal_Inf_R_t_0","Amygdala_L_t_0",33
"Parietal_Sup_L_t_0","Amygdala_L_t_0",62
"Parietal_Sup_R_t_0","Amygdala_L_t_0",31
"Postcentral_L_t_0","Amygdala_L_t_0",49
"Postcentral_R_t_0","Amygdala_L_t_0",43
"Precentral_L_t_0","Amygdala_L_t_0",41
"Precentral_R_t_0","Amygdala_L_t_0",34
"Precuneus_L_t_0","Amygdala_L_t_0",40
"Precuneus_R_t_0","Amygdala_L_t_0",32
"Putamen_L_t_0","Amygdala_L_t_0",53
"Putamen_R_t_0","Amygdala_L_t_0",48
"Rectus_L_t_0","Amygdala_L_t_0",43
"Rectus_R_t_0","Amygdala_L_t_0",44
"Rolandic_Oper_L_t_0","Amygdala_L_t_0",66
"Rolandic_Oper_R_t_0","Amygdala_L_t_0",35
"Scan_no_t_0","Amygdala_L_t_0",12
"Supp_Motor_Area_L_t_0","Amygdala_L_t_0",41
"Supp_Motor_Area_R_t_0","Amygdala_L_t_0",26
"SupraMarginal_L_t_0","Amygdala_L_t_0",39
"SupraMarginal_R_t_0","Amygdala_L_t_0",56
"Temporal_Inf_L_t_0","Amygdala_L_t_0",32
"Temporal_Inf_R_t_0","Amygdala_L_t_0",37
"Temporal_Mid_L_t_0","Amygdala_L_t_0",31
"Temporal_Mid_R_t_0","Amygdala_L_t_0",45
"Temporal_Pole_Mid_L_t_0","Amygdala_L_t_0",48
"Temporal_Pole_Mid_R_t_0","Amygdala_L_t_0",33
"Temporal_Pole_Sup_L_t_0","Amygdala_L_t_0",66
"Temporal_Pole_Sup_L_t_1","Amygdala_L_t_0",1
"Temporal_Pole_Sup_R_t_0","Amygdala_L_t_0",48
"Temporal_Sup_L_t_0","Amygdala_L_t_0",41
"Temporal_Sup_R_t_0","Amygdala_L_t_0",37
"Thalamus_L_t_0","Amygdala_L_t_0",54
"Thalamus_R_t_0","Amygdala_L_t_0",40
"Vermis_1_2_t_0","Amygdala_L_t_0",34
"Vermis_10_t_0","Amygdala_L_t_0",22
"Vermis_3_t_0","Amygdala_L_t_0",30
"Vermis_4_5_t_0","Amygdala_L_t_0",50
"Vermis_6_t_0","Amygdala_L_t_0",42
"Vermis_7_t_0","Amygdala_L_t_0",35
"Vermis_8_t_0","Amygdala_L_t_0",40
"Vermis_9_t_0","Amygdala_L_t_0",55
"Amygdala_R_t_1","Amygdala_L_t_1",35
"Angular_L_t_1","Amygdala_L_t_1",51
"Angular_R_t_1","Amygdala_L_t_1",41
"Calcarine_L_t_1","Amygdala_L_t_1",50
"Calcarine_R_t_1","Amygdala_L_t_1",49
"Caudate_L_t_1","Amygdala_L_t_1",51
"Caudate_R_t_1","Amygdala_L_t_1",43
"Cerebelum_10_L_t_1","Amygdala_L_t_1",40
"Cerebelum_10_R_t_1","Amygdala_L_t_1",40
"Cerebelum_3_L_t_1","Amygdala_L_t_1",41
"Cerebelum_3_R_t_1","Amygdala_L_t_1",44
"Cerebelum_4_5_L_t_1","Amygdala_L_t_1",64
"Cerebelum_4_5_R_t_1","Amygdala_L_t_1",72
"Cerebelum_6_L_t_1","Amygdala_L_t_1",49
"Cerebelum_6_R_t_1","Amygdala_L_t_1",37
"Cerebelum_7b_L_t_1","Amygdala_L_t_1",39
"Cerebelum_7b_R_t_1","Amygdala_L_t_1",36
"Cerebelum_8_L_t_1","Amygdala_L_t_1",28
"Cerebelum_8_R_t_1","Amygdala_L_t_1",44
"Cerebelum_9_L_t_1","Amygdala_L_t_1",53
"Cerebelum_9_R_t_1","Amygdala_L_t_1",61
"Cerebelum_Crus1_L_t_1","Amygdala_L_t_1",40
"Cerebelum_Crus1_R_t_1","Amygdala_L_t_1",32
"Cerebelum_Crus2_L_t_1","Amygdala_L_t_1",26
"Cerebelum_Crus2_R_t_1","Amygdala_L_t_1",28
"Cingulum_Ant_L_t_1","Amygdala_L_t_1",69
"Cingulum_Ant_R_t_1","Amygdala_L_t_1",44
"Cingulum_Mid_L_t_1","Amygdala_L_t_1",62
"Cingulum_Mid_R_t_1","Amygdala_L_t_1",67
"Cingulum_Post_L_t_1","Amygdala_L_t_1",35
"Cingulum_Post_R_t_1","Amygdala_L_t_1",34
"Cuneus_L_t_1","Amygdala_L_t_1",45
"Cuneus_R_t_1","Amygdala_L_t_1",44
"DVARS_t_1","Amygdala_L_t_1",22
"Frontal_Inf_Oper_L_t_1","Amygdala_L_t_1",64
"Frontal_Inf_Oper_R_t_1","Amygdala_L_t_1",38
"Frontal_Inf_Orb_L_t_1","Amygdala_L_t_1",61
"Frontal_Inf_Orb_R_t_1","Amygdala_L_t_1",51
"Frontal_Inf_Tri_L_t_1","Amygdala_L_t_1",50
"Frontal_Inf_Tri_R_t_1","Amygdala_L_t_1",38
"Frontal_Med_Orb_L_t_1","Amygdala_L_t_1",45
"Frontal_Med_Orb_R_t_1","Amygdala_L_t_1",29
"Frontal_Mid_L_t_1","Amygdala_L_t_1",51
"Frontal_Mid_Orb_L_t_1","Amygdala_L_t_1",56
"Frontal_Mid_Orb_R_t_1","Amygdala_L_t_1",49
"Frontal_Mid_R_t_1","Amygdala_L_t_1",40
"Frontal_Sup_L_t_1","Amygdala_L_t_1",45
"Frontal_Sup_Medial_L_t_1","Amygdala_L_t_1",43
"Frontal_Sup_Medial_R_t_1","Amygdala_L_t_1",33
"Frontal_Sup_Orb_L_t_1","Amygdala_L_t_1",29
"Frontal_Sup_Orb_R_t_1","Amygdala_L_t_1",31
"Frontal_Sup_R_t_1","Amygdala_L_t_1",27
"Fusiform_L_t_1","Amygdala_L_t_1",35
"Fusiform_R_t_1","Amygdala_L_t_1",59
"Heschl_L_t_1","Amygdala_L_t_1",47
"Heschl_R_t_1","Amygdala_L_t_1",29
"Hippocampus_L_t_1","Amygdala_L_t_1",78
"Hippocampus_R_t_1","Amygdala_L_t_1",41
"Insula_L_t_1","Amygdala_L_t_1",85
"Insula_R_t_1","Amygdala_L_t_1",40
"Lingual_L_t_1","Amygdala_L_t_1",45
"Lingual_R_t_1","Amygdala_L_t_1",47
"Occipital_Inf_L_t_1","Amygdala_L_t_1",39
"Occipital_Inf_R_t_1","Amygdala_L_t_1",51
"Occipital_Mid_L_t_1","Amygdala_L_t_1",34
"Occipital_Mid_R_t_1","Amygdala_L_t_1",40
"Occipital_Sup_L_t_1","Amygdala_L_t_1",35
"Occipital_Sup_R_t_1","Amygdala_L_t_1",36
"Olfactory_L_t_1","Amygdala_L_t_1",56
"Olfactory_R_t_1","Amygdala_L_t_1",33
"Pallidum_L_t_1","Amygdala_L_t_1",61
"Pallidum_R_t_1","Amygdala_L_t_1",34
"Paracentral_Lobule_L_t_1","Amygdala_L_t_1",29
"Paracentral_Lobule_R_t_1","Amygdala_L_t_1",27
"ParaHippocampal_L_t_1","Amygdala_L_t_1",59
"ParaHippocampal_R_t_1","Amygdala_L_t_1",56
"Parietal_Inf_L_t_1","Amygdala_L_t_1",46
"Parietal_Inf_R_t_1","Amygdala_L_t_1",33
"Parietal_Sup_L_t_1","Amygdala_L_t_1",62
"Parietal_Sup_R_t_1","Amygdala_L_t_1",31
"Postcentral_L_t_1","Amygdala_L_t_1",49
"Postcentral_R_t_1","Amygdala_L_t_1",43
"Precentral_L_t_1","Amygdala_L_t_1",41
"Precentral_R_t_1","Amygdala_L_t_1",34
"Precuneus_L_t_1","Amygdala_L_t_1",40
"Precuneus_R_t_1","Amygdala_L_t_1",32
"Putamen_L_t_1","Amygdala_L_t_1",53
"Putamen_R_t_1","Amygdala_L_t_1",48
"Rectus_L_t_1","Amygdala_L_t_1",43
"Rectus_R_t_1","Amygdala_L_t_1",44
"Rolandic_Oper_L_t_1","Amygdala_L_t_1",66
"Rolandic_Oper_R_t_1","Amygdala_L_t_1",35
"Scan_no_t_1","Amygdala_L_t_1",12
"Supp_Motor_Area_L_t_1","Amygdala_L_t_1",41
"Supp_Motor_Area_R_t_1","Amygdala_L_t_1",26
"SupraMarginal_L_t_1","Amygdala_L_t_1",39
"SupraMarginal_R_t_1","Amygdala_L_t_1",56
"Temporal_Inf_L_t_1","Amygdala_L_t_1",32
"Temporal_Inf_R_t_1","Amygdala_L_t_1",37
"Temporal_Mid_L_t_1","Amygdala_L_t_1",31
"Temporal_Mid_R_t_1","Amygdala_L_t_1",45
"Temporal_Pole_Mid_L_t_1","Amygdala_L_t_1",48
"Temporal_Pole_Mid_R_t_1","Amygdala_L_t_1",33
"Temporal_Pole_Sup_L_t_1","Amygdala_L_t_1",66
"Temporal_Pole_Sup_R_t_1","Amygdala_L_t_1",48
"Temporal_Sup_L_t_1","Amygdala_L_t_1",41
"Temporal_Sup_R_t_1","Amygdala_L_t_1",37
"Thalamus_L_t_1","Amygdala_L_t_1",54
"Thalamus_R_t_1","Amygdala_L_t_1",40
"Vermis_1_2_t_1","Amygdala_L_t_1",34
"Vermis_10_t_1","Amygdala_L_t_1",22
"Vermis_3_t_1","Amygdala_L_t_1",30
"Vermis_4_5_t_1","Amygdala_L_t_1",50
"Vermis_6_t_1","Amygdala_L_t_1",42
"Vermis_7_t_1","Amygdala_L_t_1",35
"Vermis_8_t_1","Amygdala_L_t_1",40
"Vermis_9_t_1","Amygdala_L_t_1",55
"Amygdala_L_t_0","Amygdala_R_t_0",65
"Amygdala_L_t_1","Amygdala_R_t_0",1
"Amygdala_R_t_1","Amygdala_R_t_0",100
"Angular_L_t_0","Amygdala_R_t_0",44
"Angular_R_t_0","Amygdala_R_t_0",47
"Calcarine_L_t_0","Amygdala_R_t_0",63
"Calcarine_L_t_1","Amygdala_R_t_0",1
"Calcarine_R_t_0","Amygdala_R_t_0",45
"Caudate_L_t_0","Amygdala_R_t_0",48
"Caudate_R_t_0","Amygdala_R_t_0",43
"Cerebelum_10_L_t_0","Amygdala_R_t_0",62
"Cerebelum_10_R_t_0","Amygdala_R_t_0",38
"Cerebelum_3_L_t_0","Amygdala_R_t_0",43
"Cerebelum_3_R_t_0","Amygdala_R_t_0",45
"Cerebelum_4_5_L_t_0","Amygdala_R_t_0",74
"Cerebelum_4_5_R_t_0","Amygdala_R_t_0",68
"Cerebelum_4_5_R_t_1","Amygdala_R_t_0",1
"Cerebelum_6_L_t_0","Amygdala_R_t_0",56
"Cerebelum_6_R_t_0","Amygdala_R_t_0",43
"Cerebelum_7b_L_t_0","Amygdala_R_t_0",43
"Cerebelum_7b_R_t_0","Amygdala_R_t_0",33
"Cerebelum_8_L_t_0","Amygdala_R_t_0",40
"Cerebelum_8_R_t_0","Amygdala_R_t_0",56
"Cerebelum_9_L_t_0","Amygdala_R_t_0",65
"Cerebelum_9_R_t_0","Amygdala_R_t_0",44
"Cerebelum_Crus1_L_t_0","Amygdala_R_t_0",44
"Cerebelum_Crus1_R_t_0","Amygdala_R_t_0",52
"Cerebelum_Crus1_R_t_1","Amygdala_R_t_0",1
"Cerebelum_Crus2_L_t_0","Amygdala_R_t_0",40
"Cerebelum_Crus2_L_t_1","Amygdala_R_t_0",1
"Cerebelum_Crus2_R_t_0","Amygdala_R_t_0",42
"Cingulum_Ant_L_t_0","Amygdala_R_t_0",59
"Cingulum_Ant_R_t_0","Amygdala_R_t_0",51
"Cingulum_Mid_L_t_0","Amygdala_R_t_0",56
"Cingulum_Mid_R_t_0","Amygdala_R_t_0",69
"Cingulum_Post_L_t_0","Amygdala_R_t_0",40
"Cingulum_Post_R_t_0","Amygdala_R_t_0",32
"Cuneus_L_t_0","Amygdala_R_t_0",58
"Cuneus_R_t_0","Amygdala_R_t_0",38
"Cuneus_R_t_1","Amygdala_R_t_0",1
"DVARS_t_0","Amygdala_R_t_0",20
"DVARS_t_1","Amygdala_R_t_0",56
"Frontal_Inf_Oper_L_t_0","Amygdala_R_t_0",62
"Frontal_Inf_Oper_R_t_0","Amygdala_R_t_0",45
"Frontal_Inf_Orb_L_t_0","Amygdala_R_t_0",70
"Frontal_Inf_Orb_R_t_0","Amygdala_R_t_0",58
"Frontal_Inf_Tri_L_t_0","Amygdala_R_t_0",54
"Frontal_Inf_Tri_R_t_0","Amygdala_R_t_0",40
"Frontal_Med_Orb_L_t_0","Amygdala_R_t_0",33
"Frontal_Med_Orb_R_t_0","Amygdala_R_t_0",26
"Frontal_Mid_L_t_0","Amygdala_R_t_0",58
"Frontal_Mid_Orb_L_t_0","Amygdala_R_t_0",58
"Frontal_Mid_Orb_L_t_1","Amygdala_R_t_0",2
"Frontal_Mid_Orb_R_t_0","Amygdala_R_t_0",45
"Frontal_Mid_R_t_0","Amygdala_R_t_0",43
"Frontal_Sup_L_t_0","Amygdala_R_t_0",50
"Frontal_Sup_Medial_L_t_0","Amygdala_R_t_0",43
"Frontal_Sup_Medial_R_t_0","Amygdala_R_t_0",30
"Frontal_Sup_Orb_L_t_0","Amygdala_R_t_0",38
"Frontal_Sup_Orb_R_t_0","Amygdala_R_t_0",32
"Frontal_Sup_R_t_0","Amygdala_R_t_0",39
"Fusiform_L_t_0","Amygdala_R_t_0",33
"Fusiform_R_t_0","Amygdala_R_t_0",63
"Heschl_L_t_0","Amygdala_R_t_0",48
"Heschl_R_t_0","Amygdala_R_t_0",35
"Hippocampus_L_t_0","Amygdala_R_t_0",47
"Hippocampus_R_t_0","Amygdala_R_t_0",55
"Insula_L_t_0","Amygdala_R_t_0",67
"Insula_R_t_0","Amygdala_R_t_0",64
"Lingual_L_t_0","Amygdala_R_t_0",56
"Lingual_R_t_0","Amygdala_R_t_0",47
"Occipital_Inf_L_t_0","Amygdala_R_t_0",33
